Unnamed: 0,set_num,set_year,top_5_similar_sets,set_name,set_img_url,theme_id,theme_name,num_parts,A0A5A9,FFFFFF,C91A09,6C6E68,237841,05131D,184632,AA7F2E,F5CD2F,582A12,F2CD37,E4ADC8,AEEFEC,635F52,F08F1C,FCFCFC,0020A0,84B68D,BBE90B,D9E4A7,0055BF,9CA3A8,F8F184,DF6695,E4CD9E,0A3463,720E0F,FF800D,958A73,898788,352100,3F3691,A5A5CB,DBAC34,3E3C39,A95500,923978,4B9F4A,A5A9B4,ADC3C0,C870A0,AA7D55,9BA19D,6D6E5C,F8BB3D,9B9A5A,36AEBF,AC78BA,9FC3E9,E1D5ED,078BC9,FE8A18,FFF03A,DFEEA5,008F9B,5A93DB,A0BCAC,FF698F,D9D9D9,CFE2F7,D09168,E0E0E0,BBA53D,AA4D8E,1B2A34,F2F3F2,583927,764D3B,6074A1,B46A00,575857,C0F500,68BCC5,F6D7B3,BDC6AD,D67572,81007B,FA9C1C,FFA70B,AE7A59,7DBFDD,EBD800,CE1D9B,8320B7,CCA373,755945,x,y
11,112006-1,2020,"['71705-1', '71767-1', '71737-1', '71774-1', '71708-1']",Lloyd vs. Stone Warrior,https://cdn.rebrickable.com/media/sets/112006-1.jpg,435,Ninjago,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.51838984205995,161.6001393179721
12,112007-1,2020,"['71741-1', '75021-1', '2257-1', '9551-1', '7676-1']",Wu vs. Skulkin,https://cdn.rebrickable.com/media/sets/112007-1.jpg,435,Ninjago,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.4570933821,140.08402403587348
13,112008-1,2020,"['71705-1', '71741-1', '71735-1', '75290-1', '71739-1']",Kai vs. Lasha,https://cdn.rebrickable.com/media/sets/112008-1.jpg,435,Ninjago,12,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.20081266735835,253.02885120454548
14,112109-1,2021,"['71737-1', '71705-1', '71767-1', '71708-1', '71738-1']",Wu vs. Garmadon,https://cdn.rebrickable.com/media/sets/112109-1.jpg,435,Ninjago,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.6756192179368,100.19120583077044
15,112110-1,2021,"['71741-1', '71799-1', '71705-1', '75053-1', '41737-1']",Cole vs. Lasha,https://cdn.rebrickable.com/media/sets/112110-1.jpg,435,Ninjago,14,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.07541693902027,188.93491082579223
16,112111-1,2021,"['71736-1', '71767-1', '71705-1', '71774-1', '75005-1']",Lloyd vs. Soul Archer,https://cdn.rebrickable.com/media/sets/112111-1.jpg,435,Ninjago,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.99915140591906,63.63257105124441
17,112112-1,2021,"['71705-1', '71737-1', '71708-1', '71739-1', '71767-1']",Jay vs. Eyezor,https://cdn.rebrickable.com/media/sets/112112-1.jpg,435,Ninjago,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.33275539909613,131.7828172274705
18,112113-1,2021,"['71735-1', '71737-1', '71705-1', '71708-1', '71739-1']",Kai vs. Nindroid,https://cdn.rebrickable.com/media/sets/112113-1.jpg,435,Ninjago,10,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.9796042981613,117.3466622346907
19,112114-1,2021,"['71705-1', '71739-1', '70667-1', '71741-1', '71767-1']",Zane vs. Wyplash,https://cdn.rebrickable.com/media/sets/112114-1.jpg,435,Ninjago,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.4859049512139,176.3476874061344
20,112215-1,2022,"['71741-1', '71799-1', '71774-1', '71737-1', '75053-1']",Cole vs. Ronin,https://cdn.rebrickable.com/media/sets/112215-1.jpg,435,Ninjago,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.1750462627381,132.97792477402956
21,112216-1,2022,"['71735-1', '71741-1', '71737-1', '75290-1', '71754-1']",Zane vs. Nindroid,https://cdn.rebrickable.com/media/sets/112216-1.jpg,435,Ninjago,16,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.55696469311,171.6781190257222
22,112217-1,2022,"['71735-1', '75290-1', '75216-1', '71739-1', '71741-1']",Kai vs. Boa Destructor,https://cdn.rebrickable.com/media/sets/112217-1.jpg,435,Ninjago,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.71047927576683,233.268069060092
23,112218-1,2022,"['71741-1', '41434-1', '71799-1', '71747-1', '71705-1']",Lloyd vs. Overlord,https://cdn.rebrickable.com/media/sets/112218-1.jpg,435,Ninjago,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.9344585271128,284.949608725073
24,112219-1,2022,"['71735-1', '71737-1', '71705-1', '71708-1', '71739-1']",Jay Vs. Nindroid,https://cdn.rebrickable.com/media/sets/112219-1.jpg,435,Ninjago,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.48453384178535,72.71560374069603
25,112220-1,2022,"['71737-1', '71705-1', '71767-1', '70738-1', '71735-1']",Kai vs. Ghoultar,https://cdn.rebrickable.com/media/sets/112220-1.jpg,435,Ninjago,14,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.7108971059436,224.9164584369867
26,112221-1,2022,"['71705-1', '71737-1', '71708-1', '71767-1', '71765-1']",Lloyd vs. Cobra Mechanic,https://cdn.rebrickable.com/media/sets/112221-1.jpg,435,Ninjago,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.09249807527206,224.8822575104819
27,112322-1,2023,"['71705-1', '71737-1', '71708-1', '71767-1', '71765-1']",Zane vs Garmadon,https://cdn.rebrickable.com/media/sets/112322-1.jpg,435,Ninjago,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.6693426000993,266.73905456881965
28,112323-1,2023,"['71741-1', '75021-1', '70732-1', '9446-1', '7879-1']",Wu vs Ghost,https://cdn.rebrickable.com/media/sets/112323-1.jpg,435,Ninjago,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.1720112311438,244.53754625934664
29,112324-1,2023,"['71705-1', '71735-1', '71739-1', '71737-1', '71708-1']",Kai vs. Bone King,https://cdn.rebrickable.com/media/sets/112324-1.jpg,435,Ninjago,14,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.92816273312707,271.0053195711786
30,112325-1,2023,"['71705-1', '71739-1', '71735-1', '71737-1', '71708-1']",Lloyd vs. Bone Warrior,https://cdn.rebrickable.com/media/sets/112325-1.jpg,435,Ninjago,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.04365776408716,187.7762110039644
31,112326-1,2023,"['71705-1', '71735-1', '71737-1', '71739-1', '71741-1']",Cole vs. Bone Knight,https://cdn.rebrickable.com/media/sets/112326-1.jpg,435,Ninjago,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.71435828013114,145.12690870124052
32,112327-1,2023,"['71737-1', '71705-1', '71735-1', '71736-1', '71708-1']",Jay vs. Bone Warrior,https://cdn.rebrickable.com/media/sets/112327-1.jpg,435,Ninjago,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.20974893083124,139.5577221355974
33,11903-1,2012,"['71741-1', '41101-1', '71799-1', '71705-1', '9450-1']",Ninjago: Brickmaster: Fight The Power Of The Snakes,https://cdn.rebrickable.com/media/sets/11903-1.jpg,497,Books,156,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.3132725708553,384.232089842172
34,12142020-1,2018,"['71735-1', '71705-1', '71741-1', '70653-1', '71774-1']",The LEGO Ninjago Movie Official Annual 2018,https://cdn.rebrickable.com/media/sets/12142020-1.jpg,497,Books,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.7786446480016,395.93974150383394
35,12148079-1,2016,"['71705-1', '71737-1', '71708-1', '71767-1', '71765-1']",Ninjago: Sky Pirates Attack!,https://cdn.rebrickable.com/media/sets/12148079-1.jpg,497,Books,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.85443141563326,434.9380888802724
36,12201420-1,2017,"['71741-1', '71799-1', '75053-1', '71705-1', '41737-1']",The LEGO Ninjago Movie: Garmageddon in Ninjago City!,https://cdn.rebrickable.com/media/sets/12201420-1.jpg,497,Books,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.26922062365423,409.9666979347781
37,12202014-1,2011,"['71735-1', '71736-1', '2257-1', '2520-1', '75005-1']",Ninjago: Spinning Power,https://cdn.rebrickable.com/media/sets/12202014-1.jpg,497,Books,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.82049819988663,371.10411659409823
38,1338112120-1,2017,"['9781780557885-1', '9782378891138-1', '9788325335465-1', '70678-1']",The Batman Movie: Chaos in Gotham City,https://cdn.rebrickable.com/media/sets/1338112120-1.jpg,497,Books,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.8946398929648,469.8821779143459
39,1405356235-1,2011,"['71741-1', '71705-1', '71799-1', '41101-1', '3315-1']",City: Brickmaster,https://cdn.rebrickable.com/media/sets/1405356235-1.jpg,497,Books,146,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.62020279936087,435.1242283306775
40,14122020-1,2012,"['2171-1', '2257-1', '2112-1', '2113-1', '2170-1']",Ninjago: Official Guide,https://cdn.rebrickable.com/media/sets/14122020-1.jpg,497,Books,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.4846140799904,381.2409474471672
41,14127980-1,2015,"['70501-1', '70505-1', '70723-1', '70726-1', '2507-1']",Ninjago: The Way Of The Ghost,https://cdn.rebrickable.com/media/sets/14127980-1.jpg,497,Books,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.3206323935044,508.2830914847856
42,14128079-1,2015,"['71741-1', '71799-1', '41663-1', '41670-1', '70724-1']",Legends of Chima: The Battle for Chima,https://cdn.rebrickable.com/media/sets/14128079-1.jpg,497,Books,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.00301385003615,403.10528802214367
43,14201220-1,2011,"['70501-1', '70505-1', '70723-1', '70726-1', '2507-1']",Ninjago: The Chosen Four,https://cdn.rebrickable.com/media/sets/14201220-1.jpg,497,Books,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.9671368093544,392.5862251656828
44,14201420-1,2016,"['71741-1', '41101-1', '71799-1', '3315-1', '41400-1']",Friends: Party Time,https://cdn.rebrickable.com/media/sets/14201420-1.jpg,497,Books,24,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.7454315576741,458.021325571075
