,set_num,top_5_similar_sets,set_name,set_img_url,theme_id,theme_name,num_parts,A0A5A9,FFFFFF,C91A09,6C6E68,237841,05131D,184632,AA7F2E,F5CD2F,582A12,F2CD37,E4ADC8,AEEFEC,635F52,F08F1C,FCFCFC,0020A0,84B68D,BBE90B,D9E4A7,0055BF,9CA3A8,F8F184,DF6695,E4CD9E,0A3463,720E0F,FF800D,958A73,898788,352100,3F3691,A5A5CB,DBAC34,3E3C39,A95500,923978,4B9F4A,A5A9B4,ADC3C0,C870A0,AA7D55,9BA19D,6D6E5C,F8BB3D,9B9A5A,36AEBF,AC78BA,9FC3E9,E1D5ED,078BC9,FE8A18,FFF03A,DFEEA5,008F9B,5A93DB,A0BCAC,FF698F,D9D9D9,CFE2F7,D09168,E0E0E0,BBA53D,AA4D8E,1B2A34,F2F3F2,583927,764D3B,6074A1,B46A00,575857,C0F500,68BCC5,F6D7B3,BDC6AD,D67572,81007B,FA9C1C,FFA70B,AE7A59,7DBFDD,EBD800,CE1D9B,8320B7,CCA373,755945
324,9788325333324-1,"['9780794449261-1', 'HPBOOK-1', '9781780559773-1', '9781338581898-1', '3467702-1']",Harry Potter: Magical Year,https://cdn.rebrickable.com/media/sets/9788325333324-1.jpg,497,Books,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,9788325334017-1,"['71741-1', '71799-1', '71705-1', '71739-1', '41434-1']",Ninjago: Gear Up for Action,https://cdn.rebrickable.com/media/sets/9788325334017-1.jpg,497,Books,19,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,9788325334659-1,"['71799-1', '71741-1', '41130-1', '71705-1', '41101-1']",DC Comics Batman: Gear Up for Action,https://cdn.rebrickable.com/media/sets/9788325334659-1.jpg,497,Books,21,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,9788325335465-1,"['71741-1', '41101-1', '41406-1', '41702-1', '9782378891138-1']",Harry Potter: Ruszaj do Akcji!,https://cdn.rebrickable.com/media/sets/9788325335465-1.jpg,497,Books,20,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,9788325335502-1,"['41101-1', '71799-1', '71741-1', '41449-1', '41130-1']",City: Gear Up For Action!,https://cdn.rebrickable.com/media/sets/9788325335502-1.jpg,497,Books,20,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,9788325336493-1,"['41413-1', '71705-1', '71741-1', '71799-1', '41130-1']",Jurassic World: Spotkanie w dżungli,https://cdn.rebrickable.com/media/sets/9788325336493-1.jpg,497,Books,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,9788325338213-1,"['71741-1', '41400-1', '71799-1', '3315-1', '41670-1']","Star Wars: Smuggler, Rebel, Hero",https://cdn.rebrickable.com/media/sets/9788325338213-1.jpg,497,Books,18,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,9788325338220-1,"['71741-1', '41130-1', '71754-1', '41101-1', '41449-1']",Christmas: Świąteczna zabawa,https://cdn.rebrickable.com/media/sets/9788325338220-1.jpg,497,Books,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,9788325338701-1,"['41101-1', '71741-1', '41130-1', '3315-1', '71799-1']",Friends: Magia przyjaźni,https://cdn.rebrickable.com/media/sets/9788325338701-1.jpg,497,Books,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,9788325339135-1,"['41401-1', '41434-1', '9780794449261-1', 'HPBOOK-1', '5005905-1']",Harry Potter: Time to play,https://cdn.rebrickable.com/media/sets/9788325339135-1.jpg,497,Books,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,9788325339142-1,"['41436-1', '5907762001083-1', '71762-1', '5006806-1', '5007369-1']",Jurassic World: Time to play!,https://cdn.rebrickable.com/media/sets/9788325339142-1.jpg,497,Books,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,9788325339579-1,"['41435-1', '70727-1', '71741-1', '34607703-1', '5007551-1']",Jurassic World: Śladami dinozaurów,https://cdn.rebrickable.com/media/sets/9788325339579-1.jpg,497,Books,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,9788325339586-1,"['9780794449261-1', 'HPBOOK-1', '9781780559773-1', '3467702-1', '5005905-1']",Harry Potter: Magical Adventures,https://cdn.rebrickable.com/media/sets/9788325339586-1.jpg,497,Books,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,9788325340070-1,"['71741-1', '41130-1', '71754-1', '41101-1', '41449-1']",Mikołaj nadciąga!,https://cdn.rebrickable.com/media/sets/9788325340070-1.jpg,497,Books,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,9788325340599-1,"['5005697-1', '9780241295168-1', '9788325338220-1', '9788325340070-1', '30530-1']",Time to play!,https://cdn.rebrickable.com/media/sets/9788325340599-1.jpg,497,Books,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,9788325341466-1,"['41436-1', '71741-1', '41404-1', '41664-1', '41665-1']",Harry Potter: The Sorting Ceremony,https://cdn.rebrickable.com/media/sets/9788325341466-1.jpg,497,Books,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,9788325341510-1,"['71741-1', '71799-1', '3315-1', '41400-1', '41130-1']",Jurassic World: Nowa Era Dinozaurów,https://cdn.rebrickable.com/media/sets/9788325341510-1.jpg,497,Books,17,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,9788325341527-1,"['71741-1', '41101-1', '3315-1', '71799-1', '41449-1']",City: Zawsze Gotowi,https://cdn.rebrickable.com/media/sets/9788325341527-1.jpg,497,Books,19,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,9788325341978-1,"['41664-1', '41449-1', '71741-1', '71754-1', '41414-1']",Jurassic World: Świat pełen dinozaurów,https://cdn.rebrickable.com/media/sets/9788325341978-1.jpg,497,Books,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,9788325342005-1,"['71741-1', '41101-1', '71705-1', '71799-1', '41732-1']",Gramy!,https://cdn.rebrickable.com/media/sets/9788325342005-1.jpg,497,Books,15,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,9788325342081-1,"['9780794449261-1', 'HPBOOK-1', '9781780559773-1', '3467702-1', '5005905-1']",Harry Potter: The Dark Lord,https://cdn.rebrickable.com/media/sets/9788325342081-1.jpg,497,Books,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,9788325342098-1,"['71741-1', '41434-1', '71799-1', '71739-1', '75208-1']",DC Comics Super Heroes: Mroczna przygoda,https://cdn.rebrickable.com/media/sets/9788325342098-1.jpg,497,Books,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,9788325342135-1,"['71741-1', '71799-1', '71705-1', '75290-1', '71754-1']",Star Wars. Największy Mistrz Jedi,https://cdn.rebrickable.com/media/sets/9788325342135-1.jpg,497,Books,27,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,97883253421429-1,"['71741-1', '71799-1', '71705-1', '71754-1', '71774-1']",Ninjago: Nieustraszeni Ninja,https://cdn.rebrickable.com/media/sets/97883253421429-1.jpg,497,Books,27,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,9788325342623-1,"['1405356235-1', '5007543-1', '5007946-1', '9780241295052-1', '9780723270812-1']","DC Comics Super Heroes: Strzeżcie się, złoczyńcy!",https://cdn.rebrickable.com/media/sets/9788325342623-1.jpg,497,Books,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,9788325342661-1,"['71738-1', '2516-1', '5005230-1', '70639-1', '70652-1']",Dreamzzz: Świat Snów,https://cdn.rebrickable.com/media/sets/9788325342661-1.jpg,497,Books,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,9789030507772-1,"['41751-1', '41667-1', '41038-1', '41101-1', '41702-1']",City: Big City Journal,https://cdn.rebrickable.com/media/sets/9789030507772-1.jpg,497,Books,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,9789634157038-1,"['71741-1', '71799-1', '41101-1', '41130-1', '71705-1']",Elves: Revenge of the Elven Witch,https://cdn.rebrickable.com/media/sets/9789634157038-1.jpg,497,Books,23,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,9789895640485-1,"['71741-1', '41403-1', '41670-1', '71799-1', '41663-1']",Harry Potter: Hogwarts Memory Journal,https://cdn.rebrickable.com/media/sets/9789895640485-1.jpg,497,Books,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,DOTSBOOK-1,"['71741-1', '71799-1', '41711-1', '75290-1', '41748-1']",DOTS: Friends Code Together,https://cdn.rebrickable.com/media/sets/dotsbook-1.jpg,497,Books,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,HPBOOK-1,"['9780794449261-1', '9781780559773-1', '3467702-1', '5005905-1', '5007367-1']",Harry Potter: Official Yearbook 2024,https://cdn.rebrickable.com/media/sets/hpbook-1.jpg,497,Books,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,VIPPACKAGE-1,"['5026469771003-1', '5026469771003-2']",Harry Potter: Special Starter Pack,https://cdn.rebrickable.com/media/sets/vippackage-1.jpg,497,Books,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,WLB6701-1,"['71741-1', '71799-1', '41101-1', '71705-1', '41130-1']",Ninjago: Destiny's Bounty Adventure Box,https://cdn.rebrickable.com/media/sets/wlb6701-1.jpg,497,Books,47,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,3917-1,"['851908-1', '850152-1', '850152-2', '850154-1', '850808-1']",Red Brick Key Chain,https://cdn.rebrickable.com/media/sets/3917-1.jpg,503,Key Chain,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,4274291-1,[],Yoda Key Chain,https://cdn.rebrickable.com/media/sets/4274291-1.jpg,503,Key Chain,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,4676-1,"['71741-1', '41101-1', '71799-1', '41130-1', '71705-1']",Police Key Chain,https://cdn.rebrickable.com/media/sets/4676-1.jpg,503,Key Chain,19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,6012306-1,[],Star Wars: Battle of Hoth Die Key Chain,https://cdn.rebrickable.com/media/sets/6012306-1.jpg,503,Key Chain,6,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,6031636-1,[],Friends Promotional Pack,https://cdn.rebrickable.com/media/sets/6031636-1.jpg,503,Key Chain,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,6031642-1,[],Legends of Chima Key Chain & Poster,https://cdn.rebrickable.com/media/sets/6031642-1.jpg,503,Key Chain,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,850152-1,"['851908-1', '3917-1', '850152-2', '850154-1', '850808-1']",Blue Brick Key Chain,https://cdn.rebrickable.com/media/sets/850152-1.jpg,503,Key Chain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,850152-2,"['851908-1', '3917-1', '850152-1', '850154-1', '850808-1']",Blue Brick Key Chain,https://cdn.rebrickable.com/media/sets/850152-2.jpg,503,Key Chain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,850154-1,"['851908-1', '3917-1', '850152-1', '850152-2', '850808-1']",Red Brick Key Chain,https://cdn.rebrickable.com/media/sets/850154-1.jpg,503,Key Chain,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,850752-1,"['41101-1', '41449-1', '71737-1', '41684-1', '41732-1']",Paris Key Chain,https://cdn.rebrickable.com/media/sets/850752-1.jpg,503,Key Chain,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,850771-1,"['71741-1', '71799-1', '71705-1', '41101-1', '41130-1']",Brickley Key Chain,https://cdn.rebrickable.com/media/sets/850771-1.jpg,503,Key Chain,26,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,850789-1,"['41449-1', '71737-1', '41101-1', '71741-1', '41130-1']",Horse Bag Charm,https://cdn.rebrickable.com/media/sets/850789-1.jpg,503,Key Chain,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,850800-1,"['71741-1', '3315-1', '41400-1', '71799-1', '41101-1']",Hedgehog Bag Charm,https://cdn.rebrickable.com/media/sets/850800-1.jpg,503,Key Chain,15,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,850808-1,"['851908-1', '3917-1', '850152-1', '850152-2', '850154-1']",Chrome Gold Brick Key Chain,https://cdn.rebrickable.com/media/sets/850808-1.jpg,503,Key Chain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,851324-1,"['41101-1', '41449-1', '71737-1', '41684-1', '41732-1']",Dolphin Bag Charm,https://cdn.rebrickable.com/media/sets/851324-1.jpg,503,Key Chain,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,851406-1,"['851908-1', '3917-1', '850152-1', '850152-2', '850154-1']",Chrome Silver Brick Key Chain,https://cdn.rebrickable.com/media/sets/851406-1.jpg,503,Key Chain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,851627-1,"['71741-1', '71799-1', '41130-1', '41101-1', '71705-1']",Key Chain Name Kit,https://cdn.rebrickable.com/media/sets/851627-1.jpg,503,Key Chain,73,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
